Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,,object_dim,,,
tactip_gripper,cracker_box,30,0,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,30,0,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,30,0.1,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,30,0.1,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,30,0.3,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,30,0.3,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,40,0,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,40,0,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,40,0.1,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,40,0.1,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,40,0.3,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,40,0.3,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,50,0,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,50,0,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,50,0.1,"[0.0, 0.0, 0.135]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
tactip_gripper,cracker_box,50,0.1,"[0.0, 0.0, 0.14]",10,,"(0.07333200000000001, 0.164998, 0.21475899999999998)",,,
